"",Abbas Moulay Mohamed,Abdel Rahman Hosny Prof,Abdullah Majid,Abedi Pele Ayew,Abete Giancarlo Dr,Abossolo Gabriel,Abu Rida Hany,Abumohor Ricardo,Acosta Francisco,Adamu Amos Dr,Aguilar Jose Maria,Ahmad Ahmad,Akramov Rustam,Al Raisi Fahad,Al Dabal Abdullah,Al Failakawi Mohammad,Al Haded Nedal,Al Hitmi Aneesa Dr,Aliyev Rakhat Dr,AL Khalifa Shk Salman Bin Ebrahim,Al Khalili Khalil Ahmed Hilal Sheikh,Al Mohannadi Saud,Aloulou Slim,Al Sheikh Talal,Alufurai Martin,Alvardo Ariel,Anjorin Moucharafou,Anouma Jacques,Aouzal Mohamed,Ariiotima Henri,Asfura Alfredo,Ashley Charles,Astudillo Oscar,Austin Lisle,Babwah Terence,Barwick Brian,Batangtaris Wandy,Beckenbauer Franz,Bedoya Luis,Beliveau Sylvie,Ben Ammar Hamouda,Bettega Roberto,Bilardo Carlos,Bin Hammam Mohamed,Bin Nasser Saleh Ahmed,Blanc Laurent,Blatter Joseph S,Blazer Chuck,Boniek Zbigniew,Bouchamaoui Tarek,Bouzo Farouk Gen,Boyce Jim,Bozoky Imre Dr,Braithwaite Richard,Brook Hamad,Burga Manuel,Burgess Mark,Burrell Horace,Bwalya Kalusha,Callejas Rafael,Camacho-Kortman Yolander,Canedo White Guillermo,Carraro Franco Dr,Carter Cathy,Case Marc Kanyan,Castedo Walter,Charlton Bobby Sir,Chiboub Slim,Chimilio Bertie Dr,Chiriboga Luis,Cho Young Jeung,Chomiak Jiri,Chung David,Chung Mong Joon Dr,Coe Sebastian,Collins John,Coluna Mario,Contiguglia Robert Dr,Contursi Mustafa,Corbo Jose Luis Dr,Corneal Alvin,Cox Michele,Crescentini Giorgio,Curkovic Ivan,Cusco Joan,D Hooghe Michel,Dadgan Mohammad Dr,Damaseb Petrus,Damiani Juan Pedro,Daniel Victor,Dasmunsi Priya Ranjan,Davio Vairani,De Gaudio Carlo,De Giacomi Carlos,De la Torre Bouvet José Alberto,Delfino Nicolas Dr,Deluca Eduardo,Diakite Amadou,Diakite Seydou,Dickens Les,Diop Abdoulaye,Domanski Lyfors Marika,Dvorak Jiri,Edwards Tony,EL Hawary Sahar,El Moutawakel Nawal,Eriksson Sven Göran,Erzik Senes,Escalettes Jean-Pierre,Espelund Karen,Esquivel Rafael,Eusebio Da Silva Ferreira,Fahmy Mustapha,Farrugia John,Fernandes Justino Dr,Fernando V Manilal,Figueredo Eugenio,Fitschen Doris,Fok Timothy Tsun Ting,Fournier Claude,Fousek Petr,Fujiguchi Mitsunori,Fuller Colin Dr,Fusimalohi ‘Ahongalu,Gagatsis Vassilis,Gallavotti Mario,Gittens Rudy Dr,Graf-Baumann Toni Prof,Groden Richard,Grandona Julio Ricardo,Guillen Montenegro Jorge Dr,Gulati Sunil,Habuba Suleimanu,Hagi Gheorghe,Haimes Burton K,Hamalainen Pekka,Hansen Allan,Hansen Jim,Harmon Lee,Harrison Oscar,Harvey Ron,Hawit Banegas Alfredo,Hayatou Issa,Haydar Hachem,Heinrichs April,Helland Janine,Hernandez Luis,Hirsch Günter Prof,Hong Myung Bo,Hooper Charmaine,Howard Dick,HRH Abdullah Ahmad Shah,Huc Olivier,Hussain Mohammed Saeed,Ilesic Marko,Indriksons Guntis,Iordanescu Anghel,Iya Mohamed,James Anthony,Jassim Ahmed Mohammed,Jean Bart Yves,Jenayah Othman,Johansson Lennart,Junge Astrid Dr,Ka Sam Hyun,Kassabov Michail,Kawabuchi Saburo,Kayizari Cesar,Khek Ravy,Kidu Carol,Kim Dong Dae,King Lai Richard,Klass Colin,Koh John,Koloskov Viacheslav,Koutsokomnis Costakis,Kreh Heinz-Herbert,Lacarne Belaïd,Lagrell Lars-Ake,Lakshmanan P P,Lambert Jacques,Laporta Joan,Lefkaritis Marios,Leoz Nicolas Dr,Linford Colin,Linsi Urs,Listkiewicz Michal,Loisel Elisabeth,Lowy Frank,Lu Tracy,Ludwig Alfred,Maciel Carlos,Madail Gilberto Dr,Madero Raul,Magnusson Eggert,Makudi Worawi,Maltock Lambert,Mandelbaum Bert Dr,Maradas Emmanuel,Markovic Vlatko,Mathier Marcel Me,Maturana Francisco,Mayer-Vorfelder Gerhard,Mbongo Sylvestre,McGinn John,Melo Filho Alvaro,Memene Seyi,Menachem Itzhak,Merlo Gianni,Michels Mick,Mifsud Joseph Dr,Mihaylov Borislav,Milla Roger,Morris John,Murray Les,Mussenden Larry,Mutko Vitaly,Napout Juan Angel,Nicholas Tai,Nsekera Lydia,Numanga Jake,O Hata Nozomu Prof,Ogura Junji,Okano Shun-Ichiro,Oliphant Molefi,OlssonLars-Christer,Omdal Per Ravn,Omidiran Ayo,Onigbinde Adegboye Chief,Ortiz Jose Carlos,Osuna Romer,Ouegnin Roger,Padron Morales Juan,Paille Michel,Parker Allen,Patel Suketu,Pauw Vera,Peeters Jan,Pele,Pana Gutirrez Edgar,Perez Arias Jorge,Perfumo Roberto,Peterson Lars,Piat Philippe,Pinto da Costa Jorge,Platini Michel,Puhl Sandor,Quintana Javier,Ramiz Wright Jose,Ramos Cristina,Raouraoua Mohamed,Ratzeburg Hannelore,Raveino Massimo,Reimann Kurt,Riise Hege,Rocha Lopez Julio,Rocheteau Dominique,Roebeck Tautulu,Rom Jorge,Rosnovsky Mark Dr,Rothenberg Alan,Roux Constant-Antoine Prof,Roxburgh Andy,Rufer Wynton,Rummenigge Karl Heinz,Rutemoeller Erich,Sadhan Bose Swapan,Sahu Khan Muhammad Dr,Salguero Rafael,Salim José Carlos Dr,Sanchez Hugo,Sanchez Reinaldo,Sandu Mircea,Sasso Sasso Isaac David,Saugy Martial Dr,Sbardella Marina,Schmidt Horst R,Seatter Graham,Selemani Omari,Sene Badara,Sexmale Tokyo,Shaddad Kamal Dr,Sheepshanks David,Sierra Celina,Simmons Kelly,Simoes René,Singh Gurcharan,Sissi,Smidt Nielsen Lone,Solia Tilomai,Spaho Mehmet,Spiess Giangiorgio,Sprengers Mathieu Dr,Stenger Harald,Stickler Friedrich,Stoicescu Liana,Stojkovic Dragan,Surkis Grigoriy,Suware Roosje,Tahir Dali,Takahashi Haruyuki,Teixeira Marco Antonio,Teixeira Ricardo Terra,Temarii Reynald,Tenga Leodgar,Thapa Ganesh,Theodoridis Theodore,Theune-Meyer Tina,Thompson Geoffrey,Tinoco Rafael,Toledo Lidio Dr,Torres Robert,Tronquet Jacques,Tsichlas Anastasia,Tupou Tevita,Ullrich Heike,Van der Ende Mario,Van der Hulst Tom,Vara de Rey Fernando,Varanavicius Liutauras,Velappan Peter Dato‘,Vilar Alberto,Villar Llona Angel Maria,Vuksich Ivan,Wallace Kenneth,Waller Carol,Warner Jack A,Weah George,Webb Jeffrey,Will David H,Williams Anthony,Xie Yalong,Yoon Young Sul Dr,Yu Zaiqing,Zaher Samir,Zavrl Rudi,Zerguini Yacine,Zhang Jian,Zhang Jilong,Zloczower Ralph
Abbas Moulay Mohamed,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdel Rahman Hosny Prof,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Abdullah Majid,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Abedi Pele Ayew,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Abete Giancarlo Dr,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Abossolo Gabriel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abu Rida Hany,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abumohor Ricardo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Acosta Francisco,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamu Amos Dr,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
